lea_id,district_name,county,city,nces_type
4289,Agua Fria Union High School District,Maricopa County,AVONDALE,Regular Local
4249,Aguila Elementary District,Maricopa County,AGUILA,Regular Local
4409,Ajo Unified District,Pima County,AJO,Regular Local
4280,Alhambra Elementary District,Maricopa County,PHOENIX,Regular Local
4161,Alpine Elementary District,Apache County,ALPINE,Regular Local
4418,Altar Valley Elementary District,Pima County,Tucson,Regular Local
4406,Amphitheater Unified District,Pima County,TUCSON,Regular Local
4506,Antelope Union High School District,Yuma County,Wellton,Regular Local
4178,Apache Elementary District,Cochise County,PORTAL,Regular Local
4443,Apache Junction Unified District,Pinal County,Apache Junction,Regular Local
4274,Arlington Elementary District,Maricopa County,ARLINGTON,Regular Local
4187,Ash Creek Elementary District,Cochise County,PEARCE,Regular Local
4471,Ash Fork Joint Unified District,Yavapai County,ASH FORK,Regular Local
4272,Avondale Elementary District,Maricopa County,AVONDALE,Regular Local
4412,Baboquivari Unified School District #40,Pima County,SELLS,Regular Local
4468,Bagdad Unified District,Yavapai County,BAGDAD,Regular Local
4268,Balsz Elementary District,Maricopa County,PHOENIX,Regular Local
4481,Beaver Creek Elementary District,Yavapai County,RIMROCK,Regular Local
79226,Benson Unified School District,Cochise County,BENSON,Regular Local
4515,Bicentennial Union High School District,La Paz County,SALOME,Regular Local
4169,Bisbee Unified District,Cochise County,BISBEE,Regular Local
4231,Blue Elementary District,Greenlee County,Blue,Regular Local
4397,Blue Ridge Unified School District No. 32,Navajo County,LAKESIDE,Regular Local
4224,Bonita Elementary District,Graham County,WILLCOX,Regular Local
4513,Bouse Elementary District,La Paz County,BOUSE,Regular Local
4171,Bowie Unified District,Cochise County,BOWIE,Regular Local
4269,Buckeye Elementary District,Maricopa County,BUCKEYE,Regular Local
4284,Buckeye Union High School District,Maricopa County,BUCKEYE,Regular Local
4378,Bullhead City School District,Mohave County,BULLHEAD CITY,Regular Local
4470,Camp Verde Unified District,Yavapai County,CAMP VERDE,Regular Local
4484,Canon Elementary District,Yavapai County,Black Canyon City,Regular Local
4282,Cartwright Elementary District,Maricopa County,PHOENIX,Regular Local
4446,Casa Grande Elementary District,Pinal County,CASA GRANDE,Regular Local
4453,Casa Grande Union High School District,Pinal County,CASA GRANDE,Regular Local
4410,Catalina Foothills Unified District,Pima County,TUCSON,Regular Local
4244,Cave Creek Unified District,Maricopa County,CAVE CREEK,Regular Local
4395,Cedar Unified District,Navajo County,KEAMS CANYON,Regular Local
4242,Chandler Unified District #80,Maricopa County,CHANDLER,Regular Local
4198,Chevelon Butte School District,Coconino County,FOREST LAKES,Regular Local
4158,Chinle Unified District,Apache County,CHINLE,Regular Local
4474,Chino Valley Unified District,Yavapai County,CHINO VALLEY,Regular Local
4486,Clarkdale-Jerome Elementary District,Yavapai County,CLARKDALE,Regular Local
4177,Cochise Elementary District,Cochise County,COCHISE,Regular Local
4370,Colorado City Unified District,Mohave County,COLORADO CITY,Regular Local
4381,Colorado River Union High School District,Mohave County,BULLHEAD CITY,Regular Local
4160,Concho Elementary District,Apache County,CONCHO,Regular Local
4479,Congress Elementary District,Yavapai County,CONGRESS,Regular Local
4416,Continental Elementary District,Pima County,GREEN VALLEY,Regular Local
4442,Coolidge Unified District,Pinal County,COOLIDGE,Regular Local
4487,Cottonwood-Oak Creek Elementary District,Yavapai County,COTTONWOOD,Regular Local
4501,Crane Elementary District,Yuma County,YUMA,Regular Local
4263,Creighton Elementary District,Maricopa County,PHOENIX,Regular Local
4483,Crown King Elementary District,Yavapai County,CROWN KING,Regular Local
4246,Deer Valley Unified District,Maricopa County,PHOENIX,Regular Local
4179,Double Adobe Elementary District,Cochise County,McNeal,Regular Local
4174,Douglas Unified District,Cochise County,DOUGLAS,Regular Local
4228,Duncan Unified District,Greenlee County,DUNCAN,Regular Local
4243,Dysart Unified District,Maricopa County,SURPRISE,Regular Local
4232,Eagle Elementary District,Greenlee County,CLIFTON,Regular Local
4185,Elfrida Elementary District,Cochise County,ELFRIDA,Regular Local
4448,Eloy Elementary District,Pinal County,ELOY,Regular Local
4415,Empire Elementary District,Pima County,SONOITA,Regular Local
4192,Flagstaff Unified District,Coconino County,FLAGSTAFF,Regular Local
4437,Florence Unified School District,Pinal County,FLORENCE,Regular Local
4405,Flowing Wells Unified District,Pima County,TUCSON,Regular Local
4221,Fort Thomas Unified District,Graham County,FORT THOMAS,Regular Local
4247,Fountain Hills Unified District,Maricopa County,FOUNTAIN HILLS,Regular Local
4273,Fowler Elementary District,Maricopa County,PHOENIX,Regular Local
4195,Fredonia-Moccasin Unified District,Coconino County,FREDONIA,Regular Local
4505,Gadsden Elementary District,Yuma County,SAN LUIS,Regular Local
4157,Ganado Unified School District,Apache County,GANADO,Regular Local
4238,Gila Bend Unified District,Maricopa County,GILA BEND,Regular Local
4239,Gilbert Unified District,Maricopa County,GILBERT,Regular Local
4271,Glendale Elementary District,Maricopa County,GLENDALE,Regular Local
4285,Glendale Union High School District,Maricopa County,GLENDALE,Regular Local
4208,Globe Unified District,Gila County,GLOBE,Regular Local
4217,Graham County Special Services,Graham County,PIMA,Regular Local
4194,Grand Canyon Unified District,Coconino County,Grand Canyon Village,Regular Local
4371,Hackberry School District,Mohave County,KINGMAN,Regular Local
4212,Hayden-Winkelman Unified District,Gila County,WINKELMAN,Regular Local
4392,Heber-Overgaard Unified District,Navajo County,HEBER,Regular Local
4248,Higley Unified School District,Maricopa County,GILBERT,Regular Local
4482,Hillside Elementary District,Yavapai County,BAGDAD,Regular Local
4389,Holbrook Unified District,Navajo County,HOLBROOK,Regular Local
4469,Humboldt Unified District,Yavapai County,PRESCOTT VLY,Regular Local
4502,Hyder Elementary District,Yuma County,DATELAND,Regular Local
4259,Isaac Elementary District,Maricopa County,PHOENIX,Regular Local
4445,J O Combs Unified School District,Pinal County,SAN TAN VLY,Regular Local
4388,Joseph City Unified District,Navajo County,JOSEPH CITY,Regular Local
4396,Kayenta Unified School District #27,Navajo County,KAYENTA,Regular Local
79598,Kingman Unified School District,Mohave County,KINGMAN,Regular Local
4480,Kirkland Elementary District,Yavapai County,KIRKLAND,Regular Local
4223,Klondyke Elementary District,Graham County,SAFFORD,Regular Local
4267,Kyrene Elementary District,Maricopa County,TEMPE,Regular Local
4368,Lake Havasu Unified District,Mohave County,Lake Havasu City,Regular Local
4276,Laveen Elementary District,Maricopa County,LAVEEN,Regular Local
4266,Liberty Elementary District,Maricopa County,BUCKEYE,Regular Local
4281,Litchfield Elementary District,Maricopa County,Litchfield Park,Regular Local
4374,Littlefield Unified District,Mohave County,BEAVER DAM,Regular Local
4278,Littleton Elementary District,Maricopa County,CASHION,Regular Local
4270,Madison Elementary District,Maricopa County,PHOENIX,Regular Local
4199,Maine Consolidated School District,Coconino County,PARKS,Regular Local
4439,Mammoth-San Manuel Unified District,Pinal County,SAN MANUEL,Regular Local
4404,Marana Unified District,Pima County,MARANA,Regular Local
4441,Maricopa Unified School District,Pinal County,MARICOPA,Regular Local
4473,Mayer Unified School District,Yavapai County,MAYER,Regular Local
4181,McNeal Elementary District,Cochise County,McNeal,Regular Local
4163,Mcnary Elementary District,Apache County,MCNARY,Regular Local
4235,Mesa Unified District,Maricopa County,MESA,Regular Local
4211,Miami Unified District,Gila County,MIAMI,Regular Local
4488,Mingus Union High School District,Yavapai County,COTTONWOOD,Regular Local
4253,Mobile Elementary District,Maricopa County,MARICOPA,Regular Local
4379,Mohave Valley Elementary District,Mohave County,MOHAVE VALLEY,Regular Local
4503,Mohawk Valley Elementary District,Yuma County,Roll,Regular Local
4230,Morenci Unified District,Greenlee County,MORENCI,Regular Local
4251,Morristown Elementary District,Maricopa County,MORRISTOWN,Regular Local
4265,Murphy Elementary District,Maricopa County,PHOENIX,Regular Local
4176,Naco Elementary District,Cochise County,NACO,Regular Local
4252,Nadaburg Unified School District,Maricopa County,WITTMANN,Regular Local
4457,Nogales Unified District,Santa Cruz County,NOGALES,Regular Local
4444,Oracle Elementary District,Pinal County,ORACLE,Regular Local
4262,Osborn Elementary District,Maricopa County,PHOENIX,Regular Local
4373,Owens School District No.6,Mohave County,WIKIEUP,Regular Local
4196,Page Unified School District #8,Coconino County,PAGE,Regular Local
4275,Palo Verde Elementary District,Maricopa County,PALO VERDE,Regular Local
4255,Paloma School District,Maricopa County,GILA BEND,Regular Local
4180,Palominas Elementary School District 49,Cochise County,HEREFORD,Regular Local
4241,Paradise Valley Unified District,Maricopa County,PHOENIX,Regular Local
4510,Parker Unified School District,La Paz County,PARKER,Regular Local
4460,Patagonia Elementary District,Santa Cruz County,PATAGONIA,Regular Local
4462,Patagonia Union High School District,Santa Cruz County,PATAGONIA,Regular Local
4209,Payson Unified District,Gila County,PAYSON,Regular Local
4369,Peach Springs Unified District,Mohave County,PEACH SPRINGS,Regular Local
4186,Pearce Elementary District,Cochise County,PEARCE,Regular Local
4283,Pendergast Elementary District,Maricopa County,PHOENIX,Regular Local
4237,Peoria Unified School District,Maricopa County,PEORIA,Regular Local
4256,Phoenix Elementary District,Maricopa County,PHOENIX,Regular Local
4286,Phoenix Union High School District,Maricopa County,PHOENIX,Regular Local
4452,Picacho Elementary District,Pinal County,Picacho,Regular Local
4220,Pima Unified District,Graham County,PIMA,Regular Local
4214,Pine Strawberry Elementary District,Gila County,PINE,Regular Local
4390,Pinon Unified District,Navajo County,PINON,Regular Local
4188,Pomerene Elementary District,Cochise County,POMERENE,Regular Local
4466,Prescott Unified District,Yavapai County,PRESCOTT,Regular Local
4511,Quartzsite Elementary District,La Paz County,EHRENBERG,Regular Local
4245,Queen Creek Unified District,Maricopa County,QUEEN CREEK,Regular Local
4438,Ray Unified District,Pinal County,KEARNY,Regular Local
4159,Red Mesa Unified District,Apache County,TEEC NOS POS,Regular Local
4447,Red Rock Elementary District,Pinal County,RED ROCK,Regular Local
4417,Redington Elementary District,Pima County,TUCSON,Regular Local
4257,Riverside Elementary District,Maricopa County,Phoenix,Regular Local
4279,Roosevelt Elementary District,Maricopa County,PHOENIX,Regular Local
4155,Round Valley Unified District,Apache County,SPRINGERVILLE,Regular Local
4449,Sacaton Elementary District,Pinal County,SACATON,Regular Local
4254,Saddle Mountain Unified School District,Maricopa County,TONOPAH,Regular Local
4218,Safford Unified District,Graham County,SAFFORD,Regular Local
4411,Sahuarita Unified District,Pima County,SAHUARITA,Regular Local
4514,Salome Consolidated Elementary District,La Paz County,SALOME,Regular Local
4210,San Carlos Unified District,Gila County,SAN CARLOS,Regular Local
4414,San Fernando Elementary District,Pima County,SASABE,Regular Local
4172,San Simon Unified District,Cochise County,SAN SIMON,Regular Local
4156,Sanders Unified District,Apache County,SANDERS,Regular Local
4459,Santa Cruz Elementary District,Santa Cruz County,NOGALES,Regular Local
4458,Santa Cruz Valley Unified District,Santa Cruz County,RIO RICO,Regular Local
4454,Santa Cruz Valley Union High School District,Pinal County,ELOY,Regular Local
4240,Scottsdale Unified District,Maricopa County,SCOTTSDALE,Regular Local
4467,Sedona-Oak Creek JUSD #9,Yavapai County,SEDONA,Regular Local
4472,Seligman Unified District,Yavapai County,SELIGMAN,Regular Local
4250,Sentinel Elementary District,Maricopa County,Dateland,Regular Local
4393,Show Low Unified District,Navajo County,SHOW LOW,Regular Local
4175,Sierra Vista Unified District,Cochise County,SIERRA VISTA,Regular Local
4478,Skull Valley Elementary District,Yavapai County,SKULL VALLEY,Regular Local
4391,Snowflake Unified District,Navajo County,SNOWFLAKE,Regular Local
4222,Solomon Elementary District,Graham County,SOLOMON,Regular Local
4500,Somerton Elementary District,Yuma County,SOMERTON,Regular Local
4461,Sonoita Elementary District,Santa Cruz County,ELGIN,Regular Local
4173,St David Unified District,Cochise County,SAINT DAVID,Regular Local
4153,St Johns Unified District,Apache County,SAINT JOHNS,Regular Local
4451,Stanfield Elementary District,Pinal County,STANFIELD,Regular Local
4407,Sunnyside Unified District,Pima County,TUCSON,Regular Local
4440,Superior Unified School District,Pinal County,SUPERIOR,Regular Local
4408,Tanque Verde Unified District,Pima County,TUCSON,Regular Local
4258,Tempe School District,Maricopa County,TEMPE,Regular Local
4287,Tempe Union High School District,Maricopa County,TEMPE,Regular Local
4219,Thatcher Unified District,Graham County,THATCHER,Regular Local
4264,Tolleson Elementary District,Maricopa County,TOLLESON,Regular Local
4288,Tolleson Union High School District,Maricopa County,TOLLESON,Regular Local
4450,Toltec School District,Pinal County,ELOY,Regular Local
4168,Tombstone Unified District,Cochise County,TOMBSTONE,Regular Local
4215,Tonto Basin Elementary District,Gila County,TONTO BASIN,Regular Local
4376,Topock Elementary District,Mohave County,TOPOCK,Regular Local
4197,Tuba City Unified School District #15,Coconino County,TUBA CITY,Regular Local
4403,Tucson Unified District,Pima County,TUCSON,Regular Local
4277,Union Elementary District,Maricopa County,TOLLESON,Regular Local
4413,Vail Unified District,Pima County,VAIL,Regular Local
4380,Valentine Elementary District,Mohave County,PEACH SPRINGS,Regular Local
4190,Valley Union High School District,Cochise County,ELFRIDA,Regular Local
4162,Vernon Elementary District,Apache County,VERNON,Regular Local
4260,Washington Elementary School District,Maricopa County,GLENDALE,Regular Local
4504,Wellton Elementary District,Yuma County,WELLTON,Regular Local
4512,Wenden Elementary District,La Paz County,WENDEN,Regular Local
4394,Whiteriver Unified District,Navajo County,WHITERIVER,Regular Local
4236,Wickenburg Unified District,Maricopa County,WICKENBURG,Regular Local
4170,Willcox Unified District,Cochise County,WILLCOX,Regular Local
4193,Williams Unified District,Coconino County,WILLIAMS,Regular Local
4475,Williamson Valley Elementary School District,Yavapai County,PRESCOTT,Regular Local
4261,Wilson Elementary District,Maricopa County,PHOENIX,Regular Local
4154,Window Rock Unified District,Apache County,FORT DEFIANCE,Regular Local
4387,Winslow Unified District,Navajo County,WINSLOW,Regular Local
4485,Yarnell Elementary District,Yavapai County,Peeples Valley,Regular Local
4213,Young Elementary District,Gila County,YOUNG,Regular Local
4377,Yucca Elementary District,Mohave County,YUCCA,Regular Local
4499,Yuma Elementary District,Yuma County,YUMA,Regular Local
4507,Yuma Union High School District,Yuma County,YUMA,Regular Local
